Programa,Threads,Tamaño Matriz,Tiempo,Iteracion
mmPosix,2,1024,2748696,7
matrizFxC,4,64,393,7
matrizFxT,4,64,488,7
mmPosix,4,64,468,7
matrizFxC,4,128,1557,7
matrizFxT,4,128,1259,7
mmPosix,4,128,1586,7
matrizFxC,4,256,8919,7
matrizFxT,4,256,9043,7
mmPosix,4,256,10782,7
matrizFxC,4,512,102679,7
matrizFxT,4,512,74898,7
mmPosix,4,512,104279,7
matrizFxC,4,1024,1384969,7
matrizFxT,4,1024,574082,7
mmPosix,4,1024,1387096,7
matrizFxC,8,64,388,7
matrizFxT,8,64,360,7
mmPosix,8,64,746,7
matrizFxC,8,128,884,7
matrizFxT,8,128,848,7
mmPosix,8,128,1015,7
matrizFxC,8,256,4992,7
matrizFxT,8,256,4806,7
mmPosix,8,256,5428,7
matrizFxC,8,512,51105,7
matrizFxT,8,512,37687,7
mmPosix,8,512,53208,7
matrizFxC,8,1024,700012,7
matrizFxT,8,1024,305429,7
mmPosix,8,1024,704812,7
matrizFxC,16,64,484,7
matrizFxT,16,64,497,7
mmPosix,16,64,858,7
matrizFxC,16,128,705,7
matrizFxT,16,128,629,7
mmPosix,16,128,794,7
matrizFxC,16,256,2685,7
matrizFxT,16,256,2854,7
mmPosix,16,256,3078,7
matrizFxC,16,512,26596,7
matrizFxT,16,512,19840,7
mmPosix,16,512,27680,7
matrizFxC,16,1024,321473,7
matrizFxT,16,1024,158196,7
mmPosix,16,1024,326087,7
matrizFxC,32,64,642,7
matrizFxT,32,64,648,7
mmPosix,32,64,1055,7
matrizFxC,32,128,929,7
matrizFxT,32,128,872,7
mmPosix,32,128,1190,7
matrizFxC,32,256,2867,7
matrizFxT,32,256,2347,7
mmPosix,32,256,2732,7
matrizFxC,32,512,23818,7
matrizFxT,32,512,14527,7
mmPosix,32,512,24579,7
matrizFxC,32,1024,272504,7
matrizFxT,32,1024,103432,7
mmPosix,32,1024,231224,7
matrizFxC,1,64,575,8
